Call Number;Digitized by;Annotations 1: Named entities, dates, layout;Normalized date attributes (yyyy-mm-dd);Annotations 2: Sources of information;Annotations 3: Attribution;Place topic;Author;Short title;Full Provenance
1747_Utre_Woer;DBNL;Yes;Yes;Part;;Utrecht;Woertman, Dirk;Notitie van 't voorgevallene bij den doorbraek van den Leckendijck Bovendams in de Wijckerweert bij Wijck, op den 28 Febr. 1747. Genoteert in de stad Utrecht;Woertman, Dirk. “Notitie van ’t voorgevallene bij den doorbraek van den Leckendijck Bovendams in de Wijckerweert bij Wijck, op den 28 Febr. 1747. Genoteert in de stad Utrecht.” Bijdragen en Mededelingen van het Historisch Genootschap, no. 5 (1882): 40–66.
1748_Berg_Folk;Volunteers;Yes;Yes;Yes;;Bergen op Zoom;Folkers, Jacobus Adrianus;Dag verhaal van de belegering van Bergen op den Zoom. In den Jaaren 1747;Folkers, Jacobus Adrianus. “Dag Verhaal van de Belegering van Bergen Op Den Zoom. In Den Jaaren 1747.” Bergen op Zoom, 1748. KHS D148. UB Tilburg.
1748_Leeu_Vege;DBNL;No;No;No;;Leeuwarden;Vegelin, Jan (Johan);Een dagverhaal van Jhr. Johan Vegelin van Claerbergen: omtrent de troubelen van het jaar 1748;Vegelin van Claerbergen, Jan. Een dagverhaal van Jhr. Johan Vegelin van Claerbergen: omtrent de troubelen van het jaar 1748. S.l.: sn, 1899. https://www.dbnl.org/tekst/vege009dagv01_01/.
1749_Haar_Barn;DBNL;Yes;No;No;;Haarlem;Barnaart, Jacobus  junior;Dagverhaal van merkwaardige voorvallen aangetekend door Jacobus Barnaart Junior te Haarlem, 1747-49;Barnaart junior, Jacobus. “Dagverhaal van Merkwaardige Voorvallen Aangetekend Door Jacobus Barnaart Junior Te Haarlem, 1747-49.” Haarlem, 1747. 18528 JS. Noord Hollands Archief Haarlem. https://dbnl.nl/tekst/barn025dagv01_01/.
1749_Loke_Smet;Volunteers;No;No;No;;Lokeren;Smet, Nicolaes  de en anderen;Kroniek van Lokeren;Smet, de, Nicolaes, Pieter De Clerc, Jacobus Boen, en Jacob Pieters Staesens. ‘Kroniek van Lokeren’. Lokeren, 1749. Boekentoren, BHSL.HS.2914. UB Gent. https://lib.ugent.be/nl/catalog/rug01:000993372?i=9&q=kroniek&type=manuscript.
1749_Maas_Anon;Volunteers;Yes;Yes;Part;;Maastricht;Anoniem;Chronyk van Maestrigt, 1750-1800;Anoniem. “Chronyk van Maestrigt, 1750-1800.” Maastricht, 1749. Handschriftencollectie GAM, toegangsnummer 22.001A, inventarisnummer 653. RHCL. http://www.archieven.nl/mi/1540/?mivast=1540&mizig=210&miadt=38&miaet=1&micode=22.001A&minr=14224794&miview=inv2.
1749_Rott_Sche;Volunteers;Yes;Yes;Yes;;Rotterdam;Schelling, Pieter  van der;Aanteekeningen van het voorgevallene te Rotterdam, tijdens de verkiezingen van Z.D.H, tot Stadhouder en de voorgestelde afschaffing der pachten, 1747-1749;Schelling, P. van der. ‘Aanteekeningen van het voorgevallene te Rotterdam, tijdens de verkiezingen van Z.D.H, tot Stadhouder en de voorgestelde afschaffing der pachten, 1747-1749, door P. van der Schelling’. Rotterdam, 1749. 33.01  Handschriftenverzameling 1597. Stadsarchief Rotterdam. https://hdl.handle.net/21.12133/5D855FA1B09E41ECA409D7187BFC527A.
1750_Gent_Anon;Volunteers;Yes;Yes;No;;Gent;Anoniem,;Cronijk van Brabant en Vlaenderen. II.;Anoniem. ‘Cronijk van Brabant en Vlaenderen. II.’ Brussel, 1750. ASB  Archives historiques, Registre 2925. Stadsarchief Brussel.
1751_Kort_Roye;Volunteers;No;No;No;;Kortrijk;Royère, Jean-Claude  de la;"Corte anotatien ende beschryvinghe van de stadt Cortryck"", kroniek van de stad Kortrijk tot 1751.";"De La Royère, Jean. “Corte Anotatien Ende Beschryvinghe van de Stadt Cortryck"", Kroniek van de Stad Kortrijk Tot 1751. [18de Eeuw].” 1. Kortrijk, 1751. Verzameling “Stadsfonds”. Handschriften 935 - 2. Rijksarchief te Kortrijk."
1752_Zaan_Kraa;Volunteers;No;No;No;;Zaandam;Kraamer, Simon Jacobsz.;Aantekeningen betreffende de geschiedenis van Zaandam;Kraamer, Simon Jacobsz. “Aantekeningen Betreffende de Geschiedenis van Zaandam.” Zaandam, 1752. Archief Doopsgezinde gemeente Zaandam-West Zaandam (KA-0012) L39. GA Zaanstad.
1752_Zaan_Veen;Volunteers;Yes;Yes;Yes;;Zaandam;Veen, Cornelis;Oostzaandammer kronijk behelzende alle het voornaamste en gedenkwaardigste voorgevallen aen de Zaan-Stroom, zedert den jaare 1740 tot 1794 incluys;Veen, Cornelis. “Oostzaandammer Kronijk Behelzende Alle Het Voornaamste En Gedenkwaardigste Voorgevallen Aen de Zaan-Stroom, Zedert Den Jaare 1740 Tot 1794 Incluys, Beknoptelijk Bij Een Gestelt, Voor de Liefhebbers Der Novelles.” 1. Zaandam (Oostzaandam), 1752. Ltk 2183. UB Leiden. https://catalogue.leidenuniv.nl/primo-explore/fulldisplay?docid=UBL_ALMA21223423790002711&context=L&vid=UBL_V1&lang=en_US.
1753_Vars_Verm;Volunteers;Yes;Yes;No;;Varsenare;Vermeersch, J.;Kronijk van Antwerpen, 1740-1753. Beschrijvinge van de voornaemste voorvallen t'sedert den jaere 1740;Vermeersch, J. “Kronijk van Antwerpen, 1740-1753. Beschrijvinge van de Voornaemste Voorvallen t’sedert Den Jaere 1740.” 3. Varsenare, 1753. Pk. 134. Stadsarchief Antwerpen. https://felixarchief.antwerpen.be/archievenoverzicht/175717.
1753_Vlis_Anon;Volunteers;Yes;Yes;Part;;Vlissingen;Anoniem;Beschrivinge van Vlissinge - uijt verscheide Schrivers bij een - vergaderd;Anoniem. ‘Beschrivinge van Vlissinge - uijt verscheide Schrivers bij een - vergaderd’. Privékroniek. Vlissingen, 1753. Privébezit.
1753_Waas_Anon;Volunteers;No;No;No;;Waasland;Anoniem;Beschrijvinge van de opkomste, gelegentheyt en den naem. van den lande van Waes;Anoniem. “Beschrijvinge van de Opkomste, Gelegentheyt En Den Naem. van Den Lande van Waes.” Waasland, 1753. Hs  II. 3617. KB Brussel.
1754_Loss_Leur;DBNL;No;No;No;;Losser;Aleida Leurink;Tot Losser gekomen. Het notitieboek van Aleida Leurink 1698-1754;Leurink, Aleida. Tot Losser Gekomen. Het Notitieboek van Aleida Leurink 1698-1754. Edited by Maria Leonie Hansen. Epe: Twentse Taalbank, 2009. http://www.twentsetaalbank.nl/media/teksten/1444.html.
1755_Hoor_Spru_01;Volunteers;Yes;Yes;Part;;Hoorn;Spruijt, Jurriaan;"""Kroniek van Hoorn"", register houdende aantekeningen betreffende de stadsgeschiedenis deel 1";Spruijt, Jurriaan. ‘“Kroniek van Hoorn”, register houdende aantekeningen betreffende de stadsgeschiedenis deel 1’. Hoorn, 1719. Hervormde Gemeente Hoorn, toegang 0656, invnr 589. West-Fries Archief. https://hdl.handle.net/21.12114/2C7BB59B11FE418696233E2B8E25469F.
1755_Hoor_Spru_02;Volunteers;Yes;Yes;No;;Hoorn;Spruijt, Jurriaan;Het tweede deel off vervolg van de historie der stad Hoorn;Spruijt, Jurriaan. ‘Het tweede deel off vervolg van de historie der stad Hoorn’. 1. Hoorn, 1755. Hervormde Gemeente Hoorn, toegang 0656, invnr 590. West-Fries Archief. https://hdl.handle.net/21.12114/7FB043BF704E4ECFA1B20548045842A9.
1755_Leuv_Anon;Volunteers;Yes;Yes;Part;;Leuven;Anoniem;Historien oft kort verhael van eenige gedenckweirdige gebeurtenissen van 't beginsel des weirelts;Anoniem. “Historien Oft Kort Verhael van Eenige Gedenckweirdige Gebeurtenissen van ’t Beginsel Des Weirelts.” Leuven, 1755. Oud Archief Ms. 50 bis. Stadsarchief Leuven.
1756_Waas_Anon_01;Volunteers;Yes;No;Part;;Sint-Niklaas;Anoniem;Chronycke van Waes, et le chiffre couronné de Léopold 1er;Anoniem. “Chronycke van Waes, et Le Chiffre Couronné de Léopold 1er.” Waasland, 1756. Hs 19157. KB Brussel.
1756_Waas_Anon_02;Volunteers;No;No;No;;Sint-Niklaas;Anoniem;Merkwaerdige geschiedenis van het land van Waes;Anoniem. “Merkwaerdige Geschiedenis van Het Land van Waes.” Waasland, 1756. Hs  II. 3616. KB Brussel.
1758_Maas_Anon;Volunteers;Yes;Yes;Part;;Maastricht;Anoniem;Kroniek van Maastricht 1236-1758;Anoniem. “Kroniek van Maastricht 1236-1758.” Maastricht, 1758. Handschriftencollectie GAM, toegangsnummer 22.001A, inventarisnummer 192. RHCL. http://www.archieven.nl/mi/1540/?mivast=1540&mizig=210&miadt=38&miaet=1&micode=22.001A&minr=14224418&miview=inv2.
1759_Hoeg_Kemp;DBNL;No;No;No;;Hoegaarden;Adriaan Peeters en Johan Franciscus van Barle;Kroniekje van Hoegaarden, 1670-1759;Kempeneers, Paul, ed. Kroniekje van Hoegaarden, 1670-1759. Oostbrabantse Historische Teksten 1. Tielt-Winge: Oostbrabantse werkgemeenschap, 1986. https://www.dbnl.org/tekst/_kro016kron01_01/.
1760_Alkm_Bont;DBNL;Yes;Yes;No;;Alkmaar;Bontius, Joachim  de Waal;Oorspronck en opkomst der stede Alckmaar, beginnende anno DL uyt een seer oud manuscript berustende ter Liberije deser Stadt gecopieert ende vervolgt tot MDCCLX;Bontius de Waal, Joachim. “Oorspronck en opkomst der stede Alckmaar, beginnende anno DL uyt een seer oud manuscript berustende ter Liberije deser Stadt gecopieert ende vervolgt tot MDCCLX door Joachim Bontius de Waal.” Translated by Transcriptiewerkgroep Regionaal Archief Alkmaar. Alkmaar, 1760. Collectie Aanwinsten, inventarisnummer 41. Regionaal Archief Alkmaar. https://dbnl.nl/tekst/bont054oors01_01/.
1762_Maas_Anon;Volunteers;Yes;Yes;Yes;;Maastricht;Anoniem;Chronijk (van Maastricht);Anoniem, en Anoniem. ‘Chronijk (van Maastricht)’. Maastricht, 1762. Handschriftencollectie GAM, toegangsnummer 22.001A, inventarisnummer 119. RHCL. http://www.archieven.nl/mi/1540/?mivast=1540&mizig=210&miadt=38&miaet=1&micode=22.001A&minr=14224345&miview=inv2.
1766_Mech_Beth;Volunteers;No;No;No;;Mechelen;Anoniem;Een cort begrijp van de fondatie ende oprichtinghe des Cloosters van Onse Lieve Vrouwe in Bethania;"Anoniem. ‘Een cort begrijp van de fondatie ende oprichtinghe des Cloosters van Onse Lieve Vrouwe in Bethania, hoe dat eertijts is opgeboudt geweest, buyten de stadtvesten van Mechelen, tusschen Deghem poort ende dWinket; met noch lofweerdighen ghedenckenisse van allen Beneficien, gratien ende donatien van Godtvruchtighe persoonen t’selve Godtshuys uut besondere affectie ende liefde bewesen, ende daerbij oock waerachtighe verhalinghe van alle Prioors, Comissarissen, Rectoors, Priorinnen, Capellanen oft Socios, van alle Religieusen Nonnekens, ende Wercksusterkens met naem ende toenamen. Ende al wat daer tusschen bijden is gepasseert binnen den selven Convente soo van Ordonnatien, Statuten, Concessien, Previlegien, Visitatien, ende andere Veranderinghen, neerstelijck bij een vergadert doer de Religieusen van tselve Clooster, etc.’ 3. Mechelen, 1766. EE Kronieken en Jaarboeken XXIX 1 (Safe II). Stadsarchief Mechelen."
1770_Kate_Pols;No;No;No;No;;Katendrecht;Pols, Pieter van der;Aantekeningen en bevindingen van Pieter van der Pols uit Katendrecht, 1719-1816;Pols, van der, Pieter. ‘Aantekeningen en bevindingen van Pieter van der Pols uit Katendrecht, 1719-1816’. Katendrecht, 1816. Toegangsnummer 33-01, inventarisnummer 4706. Stadsarchief Rotterdam. https://hdl.handle.net/21.12133/1101E757F5184620BF575EF559852611.
1772_Amst_Bikk;Volunteers;Yes;Yes;Part;;Amsterdam;Bikker Raye, Jakob;Notietie van het merkwaardigste meijn bekent dat in het jaar 1732 binnen Amsterdam is voorgevallen. 1732-1739.;Bikker Raye, Jakob. “Notietie van Het Merkwaardigste Meijn Bekent Dat in Het Jaar 1732 Binnen Amsterdam Is Voorgevallen. 1733, 1734, 1735, 1736, 1737, 1738, 1739.” Amsterdam, 1772. Bibliotheek. Stadsarchief Amsterdam. https://archief.amsterdam/inventarissen/scans/15030/2.1.2.459/start/0/limit/10/highlight/6.
1776_Hale_Anon;Volunteers;No;No;No;;Halen;Anoniem,;Kroniek, getiteld: Memoriael, 1243 - 1776;Anoniem. “Kroniek, Getiteld: Memoriael, 1243 - 1776,” 1776. Abdij van Rotem in Halen toegangsnummer 581, inv.nr. 2. Rijksarchief Hasselt.
1776_Mech_Nieu_01;Volunteers;Yes;Yes;No;;Mechelen;Nieuwenhuysen, Hendrik Dominik  van den;Deel 1 kroniek van Mechelen door kapelaan Hendrik Dominik Van den Nieuwenhuysen;Nieuwenhuysen, Hendrik Dominik van den. “Deel 1 Kroniek van Mechelen Door Kapelaan Hendrik Dominik Van Den Nieuwenhuysen.” 2. Mechelen, 1776. Varia 832/1. Stadsarchief Mechelen.
1776_Mech_Nieu_02;Volunteers;Yes;Yes;Yes;;Mechelen;Nieuwenhuysen, Hendrik Dominik  van den;Deel 2 kroniek van Mechelen door kapelaan Hendrik Dominik Van den Nieuwenhuysen;Nieuwenhuysen, Hendrik Dominik van den. “Deel 2 Kroniek van Mechelen Door Kapelaan Hendrik Dominik Van Den Nieuwenhuysen.” 2. Mechelen, 1776. Varia 832/1. Stadsarchief Mechelen.
1776_Mech_Nieu_03;Volunteers;Yes;Yes;No;;Mechelen;Nieuwenhuysen, Hendrik Dominik  van den;Deel 3 kroniek van Mechelen door kapelaan Hendrik Dominik Van den Nieuwenhuysen;Nieuwenhuysen, Hendrik Dominik van den. “Deel 3 Kroniek van Mechelen Door Kapelaan Hendrik Dominik Van Den Nieuwenhuysen.” 2. Mechelen, 1776. Varia 832/1. Stadsarchief Mechelen.
1776_Mech_Nieu_04;Volunteers;Yes;Yes;Yes;;Mechelen;Nieuwenhuysen, Hendrik Dominik  van den;Deel 4 kroniek van Mechelen door kapelaan Hendrik Dominik Van den Nieuwenhuysen;Nieuwenhuysen, Hendrik Dominik van den. “Deel 4 Kroniek van Mechelen Door Kapelaan Hendrik Dominik Van Den Nieuwenhuysen.” 2. Mechelen, 1776. Varia 832/1. Stadsarchief Mechelen.
1776_Mech_Nieu_05;Volunteers;Yes;Yes;Yes;;Mechelen;Nieuwenhuysen, Hendrik Dominik  van den;Deel 5 kroniek van Mechelen door kapelaan Hendrik Dominik Van den Nieuwenhuysen;Nieuwenhuysen, Hendrik Dominik van den. “Deel 5 Kroniek van Mechelen Door Kapelaan Hendrik Dominik Van Den Nieuwenhuysen.” 2. Mechelen, 1776. Varia 832/1. Stadsarchief Mechelen.
1779_Spaa_Beer;Volunteers;No;No;No;;Spaarndam;Beer, Zacheus J.G.  de;Kronyk van Spaarndam;Beer, J.G. de. “Korte kronijk door Zacheus J.G. De Beer, 1739-1816.” 1. Spaarndam, 1816. Archief Oudemannenhuis (3295), inventarisnummer 45. Noord Hollands Archief Haarlem. http://noord-hollandsarchief.nl/bronnen/archieven?mivast=236&mizig=210&miadt=236&miaet=1&micode=3295&minr=1061209&miview=inv2.
1781_Brug_Ledo;Volunteers;Yes;Yes;No;;Brugge;Inbona, Jacques/Jacobus en Pieter Ledoulx;Rare geschriften behelsende het gedenckweerdighste dat ‘er is voorgevallen binnen de stadt van Brugghe, 1645-1684 door Jacques Inbona en verdergezet door Pieter Le Doulx tot 1781;Inbona, Jacques, en Pieter Ledoulx. ‘Rare geschriften behelsende het gedenckweerdighste dat ‘er is voorgevallen binnen de stadt van Brugghe, 1645-1684 door Jacques Inbona en verdergezet door Pieter Le Doulx tot 1781 (met een vervolgh ofte bijvoughsel)’. Brugge, 1684. Fonds Goethals-Vercruysse, ms. 175. Rijksarchief te Kortrijk.
1785_Leeu_Sluy;DBNL;No;No;No;;Leeuwarden;Sluyterman, Lammoraal Albertus Aemilius;Journaal off dagregister;Sluyterman, Lammoraal Albertus Aemilius. “Journaal off Dagregister.” Leeuwarden, 1785. DBNL.
1786_Mech_Munc;Volunteers;Yes;No;No;;Mechelen;Munck, Jozef Jacob  de;Iaer-Boecken van Mechelen;Munck, Jozef Jacob de. “Iaer-Boecken van Mechelen.” Mechelen, 1786. EE Kronieken en Jaarboeken  XX 1. Stadsarchief Mechelen.
1787_Fran_Anon;DBNL;No;No;No;;Franeker;Anoniem;Dagverhaal van de gebeurtenissen te Franeker;Anoniem. ‘Dagverhaal van de gebeurtenissen te Franeker’. 1. Franeker, 1787. 332-04  Familie Telting. Inv no 112. Tresaor. http://archieven.tresoar.nl/maisinternet.php?mivast=36&mizig=210&miadt=36&miaet=1&micode=332-04&minr=1205167&miview=inv2.
1787_Gent_Anon_01;Volunteers;No;No;No;;Gent;Anoniem;Kronijke van Gend waer by gevoegt is twee sermoenen op de sotheyt der weerelts den intre ende de dood der biscoppen van Gend ende eenige raetsels (1);Anoniem. “Kronijke van Gend Waer by Gevoegt Is Twee Sermoenen Op de Sotheyt Der Weerelts Den Intre Ende de Dood Der Biscoppen van Gend Ende Eenige Raetsels.” Gent, 1787. Boekentoren, BIB.G.019834  v. 1 en 2. UB Gent. https://lib.ugent.be/nl/catalog/rug01:000765826?i=1&q=kronijke&type=manuscript.
1787_Gent_Anon_02;Volunteers;Yes;Yes;No;;Gent;Anoniem;Kronijke van Gend waer by gevoegt is twee sermoenen op de sotheyt der weerelts den intre ende de dood der biscoppen van Gend ende eenige raetsels (2);Anoniem. “Kronijke van Gend Waer by Gevoegt Is Twee Sermoenen Op de Sotheyt Der Weerelts Den Intre Ende de Dood Der Biscoppen van Gend Ende Eenige Raetsels.” Gent, 1787. Boekentoren, BIB.G.019834  v. 1 en 2. UB Gent. https://lib.ugent.be/nl/catalog/rug01:000765826?i=1&q=kronijke&type=manuscript.
1790_Brug_Ledo;Volunteers;Yes;Yes;No;;Brugge;Ledoulx, Pieter;Cronyke ofte Brugsche dagh-aenteekeningen behelsende de gedenckweerdighste Geschiedenisse de welcke binne de selve stad als daer ontrent voorgevallen 1786-1790;Le Doulx, P. ‘Cronyke ofte Brugsche dagh-aenteekeningen behelsende de gedenckweerdighste Geschiedenisse de welcke binne de selve stad als daer ontrent voorgevallen zijn sedert het jaer 1786 tot het jaer 1790’. Brugge, 1790. Hs. 52. Stadsarchief Brugge.
1790_Mech_Wijn;Volunteers;Yes;Yes;No;;Mechelen;Wijndrickx, Jan Jozef;Tijdt-wijser van sommighe gedenckweirdige dingen, die geschiet syn binnen, ende buyten de Stadt ende Provincie van Mechelen;Wijndrickx, Jan Jozef. “Tijdt-Wijser van Sommighe Gedenckweirdige Dingen, Die Geschiet Syn Binnen, Ende Buyten de Stadt Ende Provincie van Mechelen.” Mechelen, 1790. EE Kronieken en Jaarboeken  XV 1. Stadsarchief Mechelen.
1792_Brie_Klui_01;DBNL;Yes;Yes;Part;;Brielle;Kluit, Jan;Historische Jaerboeken der stad Briel, deel 1, 1e stuk, 1747-1751;Kluit, Jan. “Historische Jaerboeken Der Stad Briel, Deel 1, 1e Stuk, 1747-1751.” Brielle, 1751. 501, inventarisnummer 1. Streekarchief Voorne-Putten Rozenburg.
1792_Brie_Klui_02;DBNL;Yes;Yes;No;;Brielle;Kluit, Jan;Historische Jaerboeken der stad Briel, deel 1, 2e stuk, 1752-1756;Kluit, Jan. “Historische Jaerboeken Der Stad Briel, Deel 1, 2e Stuk, 1752-1756.” Brielle, 1756. 501, inventarisnummer 2. Streekarchief Voorne-Putten Rozenburg.
1792_Brie_Klui_03;DBNL;Yes;Yes;No;;Brielle;Kluit, Jan;Historische Jaerboeken der stad Briel, deel 2, 1e stuk, 1757-1762;Kluit, Jan. “Historische Jaerboeken Der Stad Briel, Deel 2, 1e Stuk, 1757-1762.” Brielle, 1762. 501, inventarisnummer 3. Streekarchief Voorne-Putten Rozenburg.
1792_Brie_Klui_04;DBNL;Yes;Yes;No;;Brielle;Kluit, Jan;Historische Jaerboeken der stad Briel, deel 2, 2e stuk, 1763-1767;Kluit, Jan. “Historische Jaerboeken Der Stad Briel, Deel 2, 2e Stuk, 1763-1767.” Brielle, 1767. 501, inventarisnummer 4. Streekarchief Voorne-Putten Rozenburg.
1792_Brie_Klui_05;DBNL;Yes;Yes;No;;Brielle;Kluit, Jan;Historische Jaerboeken der stad Briel, deel 3, 1e stuk, 1767-1770;Kluit, Jan. “Historische Jaerboeken Der Stad Briel, Deel 3, 1e Stuk, 1767-1770.” Brielle, 1770. 501, inventarisnummer 5. Streekarchief Voorne-Putten Rozenburg.
1792_Brie_Klui_06;DBNL;Yes;Yes;No;;Brielle;Kluit, Jan;Historische Jaerboeken der stad Briel, deel 3, 2e stuk, 1771;Kluit, Jan. “Historische Jaerboeken Der Stad Briel, Deel 3, 2e Stuk, 1771.” Brielle, 1771. 501, inventarisnummer 6. Streekarchief Voorne-Putten Rozenburg.
1792_Brie_Klui_07;DBNL;Yes;Yes;No;;Brielle;Kluit, Jan;Historische Jaerboeken der stad Briel, deel 3, 3e stuk, 1771-1776;Kluit, Jan. “Historische Jaerboeken Der Stad Briel, Deel 3, 3e Stuk, 1771-1776.” Brielle, 1776. 501, inventarisnummer 7. Streekarchief Voorne-Putten Rozenburg.
1792_Brie_Klui_08;DBNL;Yes;Yes;No;;Brielle;Kluit, Jan;Historische Jaerboeken der stad Briel, deel 4, 1e stuk, 1777-1784;Kluit, Jan. “Historische Jaerboeken Der Stad Briel, Deel 4, 1e Stuk, 1777-1784.” Brielle, 1784. 501, inventarisnummer 8. Streekarchief Voorne-Putten Rozenburg.
1792_Brie_Klui_09;DBNL;Yes;Yes;No;;Brielle;Kluit, Jan;Historische Jaerboeken der stad Briel, deel 4, 2e stuk, 1784;Kluit, Jan. “Historische Jaerboeken Der Stad Briel, Deel 4, 2e Stuk, 1784.” Brielle, 1784. 501, inventarisnummer 9. Streekarchief Voorne-Putten Rozenburg.
1792_Brie_Klui_10;DBNL;Yes;Yes;No;;Brielle;Kluit, Jan;Historische Jaerboeken der stad Briel, deel 4, 3e stuk, 1785;Kluit, Jan. “Historische Jaerboeken Der Stad Briel, Deel 4, 3e Stuk, 1785.” Brielle, 1785. 501, inventarisnummer 10. Streekarchief Voorne-Putten Rozenburg.
1792_Brie_Klui_11;DBNL;Yes;Yes;No;;Brielle;Kluit, Jan;Historische Jaerboeken der stad Briel, deel 4, 3e stuk, 1786-1792;Kluit, Jan. “Historische Jaerboeken Der Stad Briel, Deel 4, 3e Stuk, 1786-1792.” Brielle, 1792. 501, inventarisnummer 11. Streekarchief Voorne-Putten Rozenburg.
1793_Bred_Ouko;Volunteers;Yes;Yes;Part;;Breda;Andries Oukoop;Dagverhaal van het voorgevallene tijdens de Franse belegering en bezetting van Breda in 1793;Oukoop, Andries. “Dagverhaal van Het Voorgevallene Tijdens de Franse Belegering En Bezetting van Breda in 1793.” Breda, 1793. Stadsarchief Breda.
1794_Bosc_Acke_01;Volunteers;Yes;Yes;No;;Den Bosch;Ackersdijck, Willem Cornelis;Kronyk der Hoofdstad 's Hertogenbosch.;Ackersdijk, Willem Cornelis. “Kronyk Der Hoofdstad ’s Hertogenbosch. Inhoudende Allerlei Merkwaardige Zaaken, Binnen Die Stad En Eenige in Derselver Meijerij Voorgevallen, of Daartoe Betreklijk. Aanvang Neemende Met Den Jaare 1780. Ten Tijde van Derzelver Gebeurtenis Naaukeurig Binnen Voorzeide Stad Aan, Geteekend Door Mr. Willem. Corn: Ackersdijck. 1e Stuk.” Den Bosch, 1789. KHS D154. UB Tilburg.
1794_Bosc_Acke_02;Volunteers;Yes;Yes;No;;Den Bosch;Ackersdijck, Willem Cornelis;Kronyk der Hoofdstad 's Hertogenbosch.;Ackersdijk, Willem Cornelis. “Kronyk Der Hoofdstad ’s Hertogenbosch. Inhoudende Allerleie Merkwaardige Zaaken, Binnen Die Stad En Eenige in Derzelver Meijereij Voorgevallen, of Daartoe Betrekkelijk Aanvang Neemende Met Den Jaare 1790. Ten Tijde van Derzelver Gebeurtenis Naaukeurig Binnen Voorzeide Stad Aangeteekend Door Mr Willem Corn: Ackersdijck. 2e Stuk.” Den Bosch, 1794. KHS D155. UB Tilburg.
1794_Goud_Anon;DBNL;Yes;Yes;No;;Gouda;Anoniem;Dagverhaal;Anoniem. “Dagverhaal.” Edited by Wim Knoops. De Schatkamer, 2011, 33.
1794_Zwol_Door;Volunteers;Yes;Yes;No;;Zwolle;Doorenweerd, Bartholomeus;Korte kronijk van Zwoll;Doorenweerd, Bartholomeus. ‘Korte kronijk van Zwoll’. 1. Zwolle, 1794. Bibliotheek A 31430. Historisch Centrum Overijssel. https://proxy.archieven.nl/20/25C49E6984864C1182937ABD1FCE276D.
1795_Deve_Jord;Volunteers;Yes;Yes;Yes;;Deventer;Jordens, Coenraad Alexander;Relaes van het gepasseerde te Deventer eenigen tijd voor en na de omwenteling van 1795, met het gebeurde ten mijnen huize;Jordens, Coenraad Alexander. “Relaes van Het Gepasseerde Te Deventer Eenigen Tijd Voor En Na de Omwenteling van 1795, Met Het Gebeurde Ten Mijnen Huize.” Deventer, 1795. Dv KB 305 KL. Athenaeum Bibliotheek Deventer.
1795_Harl_Tous;Volunteers;Yes;Yes;No;;Harlingen;Toussaint, Johan Daniel;Gedurende de halve maand februarii 1795;Toussaint, Johan Daniel. “Gedurende de Halve Maand Februarii 1795.” 1. Harlingen, 1795. PB 1005 Hs. Tresoar Leeuwarden.
1795_Maas_Loye;Volunteers;Yes;Yes;Part;;Maastricht;Ludovicus Franciscus Loyens en Anoniem;Manuscripta wegens de stad Maestricht de anno 998 usque anno 1742;Anoniem. “Manuscripta Wegens de Stad Maestricht de Anno 998 Usque Anno 1742.” Maastricht, 1795. Handschriftencollectie GAM, toegangsnummer 22.001A, inventarisnummer 197. RHCL. http://www.archieven.nl/mi/1540/?mivast=1540&mizig=210&miadt=38&miaet=1&micode=22.001A&minr=14224423&miview=inv2.
1795_Mege_Loef;DBNL;Yes;Yes;No;;Megen;Loeffen, Joannes;Memorien: kroniek van Megen door Johannes Loeffen;Loeffen, Joannes. Memorien: kroniek van Megen door Johannes Loeffen, 1970. https://dbnl.org/tekst/loef022memo01_01/loef022memo01_01_0002.php.
1795_Zalt_Kist;DBNL;Yes;Yes;No;;Zaltbommel;Kist, Joost Gerard;Uit het dagboek van den Zaltbommelschen predikant J.G. Kist (1794-1795);Kist, Joost Gerard. “Uit Het Dagboek van Den Zaltbommelschen Predikant J.G. Kist (1794-1795).” Edited by G.J.F. Mes. Bijdragen En Mededelingen Gelre VIII (1905): 453–501.
1796_Antw_Aars;Volunteers;Yes;Yes;Yes;;Antwerpen;Aarssen, Jan (Johannes Lucas)  van;De principaelste geschiedenissen voorgevallen binnen Antwerpen sedert 1794, 15 maert tot 16 maert 1796, beschreven door Jan van Aarssen, stoofmaker en koperslager op de Steenhoudersvest te Antwerpen;Aarssen, Jan van. “De Principaelste Geschiedenissen Voorgevallen Binnen Antwerpen Sedert 1794, 15 Maert Tot 16 Maert 1796, Beschreven Door Jan van Aarssen, Stoofmaker En Koperslager Op de Steenhoudersvest Te Antwerpen.” 1. Antwerpen, 1796 1794. Pk. 123. Stadsarchief Antwerpen. https://felixarchief.antwerpen.be/archievenoverzicht/175711.
1796_Leeu_Buma;Volunteers;Yes;Yes;No;;Leeuwarden;Buma,  Anna Elisabeth;Kroniek van belangrijke buitenlandse, landelijke, regionale en plaatselijke gebeurtenissen;Buma, Anna Elisabeth. “Kroniek van belangrijke buitenlandse, landelijke, regionale en plaatselijke gebeurtenissen.” 1. Leeuwarden, 1796. 1759 Beucker Andreae Inv.no 374. HC Leeuwarden. https://historischcentrumleeuwarden.nl/onderzoek/archievenoverzicht?mivast=76&mizig=210&miadt=76&miaet=1&micode=1759&minr=722766&miview=inv2.
